Time Elapsed,Total Points,Last App
8.032856702804565,1.0,Reward System
8.20556092262268,1.0,Reward System
9.058562278747559,0.0,Reward System
9.058562278747559,0.0,Reward System
8.575035572052002,1.0,Reward System
9.174030780792236,0.0,Reward System
9.174030780792236,0.0,Reward System
9.174030780792236,0.0,Reward System
4.636489629745483,12.0,Reward System
66.59984254837036,7.0,Reward System
5,1.0,Reward System
6,1.0,Reward System
15,2.0,Reward System
16,2.0,Reward System
15,2.0,Reward System
5,1.0,Reward System
15,2.0,Reward System
15,20,Reward System
25,3.0,Reward System
6,1.0,Reward System
15,2.0,Reward System
6,1.0,Reward System
6,1.0,Reward System
6,1.0,Reward System
6,1.0,Reward System
6,1.0,Reward System
7,1.0,Reward System
7,1.0,Reward System
5,1.0,Reward System
6,0.5,Reward System
7,0.0,Reward System
2,0.5,Reward System
2,0.5,Reward System
15,1.5,Reward System
10,1.0,Reward System
10,1.0,Reward System
15,1.5,Reward System
9,2.5,Reward System
11,1.0,Reward System
12,1.0,Reward System
